DATE,Ward Code,Areas,Latitude,Longitude,Nearest Station,Elevation,Land Use Classes,Population,Road Density_m,Distance_to_water_m,Soil Type,Built_up%,True_nearest_distance_m,Rainfall_mm,Rainfall_Intensity_mm_hr,Rainfall Days Count,Rainfall_Hours,Predicted_Flood_Risk,Prediction_Confidence
2025-09-24,Ward H/E,Air India Colony,19.084,72.87,Kurla Nalla,9.0,"residential, institutional",600000,15.18,10,Sandy,70.0,400.56,3.3,0.1571428571428571,1,21.0,High,0.8812009
2025-09-25,Ward H/E,Air India Colony,19.084,72.87,Kurla Nalla,9.0,"residential, institutional",600000,15.18,10,Sandy,70.0,400.56,1.8,0.15,1,12.0,High,0.8842689
2025-09-26,Ward H/E,Air India Colony,19.084,72.87,Kurla Nalla,9.0,"residential, institutional",600000,15.18,10,Sandy,70.0,400.56,3.6,0.2,1,18.0,High,0.8812009
2025-09-13,Ward K/E,Airport Gate 8 Road,19.0995,72.8662,Mithi River,14.0,"industrial, transport, mixed_use",750000,17.61,13,Urban,90.0,414.18,12.7,3.5,1,17.0,High,0.99350584
2025-09-14,Ward K/E,Airport Gate 8 Road,19.0995,72.8662,Mithi River,14.0,"industrial, transport, mixed_use",750000,17.61,13,Urban,90.0,414.18,12.2,2.8,1,22.0,High,0.99350584
2025-09-15,Ward K/E,Airport Gate 8 Road,19.0995,72.8662,Mithi River,14.0,"industrial, transport, mixed_use",750000,17.61,13,Urban,90.0,414.18,65.5,10.6,1,18.0,High,0.99946076
2025-09-16,Ward K/E,Airport Gate 8 Road,19.0995,72.8662,Mithi River,14.0,"industrial, transport, mixed_use",750000,17.61,13,Urban,90.0,414.18,5.2,0.9,1,23.0,High,0.99385965
2025-09-17,Ward K/E,Airport Gate 8 Road,19.0995,72.8662,Mithi River,14.0,"industrial, transport, mixed_use",750000,17.61,13,Urban,90.0,414.18,25.7,14.8,1,21.0,Moderate,0.5335386
2025-09-18,Ward K/E,Airport Gate 8 Road,19.0995,72.8662,Mithi River,14.0,"industrial, transport, mixed_use",750000,17.61,13,Urban,90.0,414.18,10.4,1.9,1,21.0,High,0.9943968
2025-09-19,Ward K/E,Airport Gate 8 Road,19.0995,72.8662,Mithi River,14.0,"industrial, transport, mixed_use",750000,17.61,13,Urban,90.0,414.18,0.0,0.7,0,3.0,High,0.980339
2025-09-20,Ward K/E,Airport Gate 8 Road,19.0995,72.8662,Mithi River,14.0,"industrial, transport, mixed_use",750000,17.61,13,Urban,90.0,414.18,22.4,0.9333333333333332,1,24.0,Moderate,0.6009115
2025-09-21,Ward K/E,Airport Gate 8 Road,19.0995,72.8662,Mithi River,14.0,"industrial, transport, mixed_use",750000,17.61,13,Urban,90.0,414.18,23.7,0.9875,1,24.0,Moderate,0.6009115
2025-09-22,Ward K/E,Airport Gate 8 Road,19.0995,72.8662,Mithi River,14.0,"industrial, transport, mixed_use",750000,17.61,13,Urban,90.0,414.18,43.5,1.8125,1,24.0,High,0.9954999
2025-09-23,Ward K/E,Airport Gate 8 Road,19.0995,72.8662,Mithi River,14.0,"industrial, transport, mixed_use",750000,17.61,13,Urban,90.0,414.18,29.8,1.3545454545454545,1,22.0,Moderate,0.506284
2025-09-24,Ward K/E,Airport Gate 8 Road,19.0995,72.8662,Mithi River,14.0,"industrial, transport, mixed_use",750000,17.61,13,Urban,90.0,414.18,3.3,0.1571428571428571,1,21.0,High,0.85250515
2025-09-25,Ward K/E,Airport Gate 8 Road,19.0995,72.8662,Mithi River,14.0,"industrial, transport, mixed_use",750000,17.61,13,Urban,90.0,414.18,1.8,0.15,1,12.0,High,0.85798347
2025-09-26,Ward K/E,Airport Gate 8 Road,19.0995,72.8662,Mithi River,14.0,"industrial, transport, mixed_use",750000,17.61,13,Urban,90.0,414.18,3.6,0.2,1,18.0,High,0.85250515
2025-09-13,Ward N,Amar Mahal Junction,19.0594,72.9084,Powai Lake,9.0,"transport, residential, mixed_use",520000,23.63,14,Urban,90.0,48.44,10.7,2.8,1,17.0,High,0.9981958
2025-09-14,Ward N,Amar Mahal Junction,19.0594,72.9084,Powai Lake,9.0,"transport, residential, mixed_use",520000,23.63,14,Urban,90.0,48.44,14.2,2.8,1,22.0,High,0.9981958
2025-09-15,Ward N,Amar Mahal Junction,19.0594,72.9084,Powai Lake,9.0,"transport, residential, mixed_use",520000,23.63,14,Urban,90.0,48.44,56.1,8.9,1,18.0,High,0.99969506
2025-09-16,Ward N,Amar Mahal Junction,19.0594,72.9084,Powai Lake,9.0,"transport, residential, mixed_use",520000,23.63,14,Urban,90.0,48.44,14.5,7.3,1,22.0,High,0.9981958
2025-09-17,Ward N,Amar Mahal Junction,19.0594,72.9084,Powai Lake,9.0,"transport, residential, mixed_use",520000,23.63,14,Urban,90.0,48.44,22.3,13.7,1,22.0,High,0.9955642
2025-09-18,Ward N,Amar Mahal Junction,19.0594,72.9084,Powai Lake,9.0,"transport, residential, mixed_use",520000,23.63,14,Urban,90.0,48.44,16.0,3.9,1,21.0,High,0.9981958
2025-09-19,Ward N,Amar Mahal Junction,19.0594,72.9084,Powai Lake,9.0,"transport, residential, mixed_use",520000,23.63,14,Urban,90.0,48.44,0.0,0.1,0,4.0,High,0.8596682
2025-09-20,Ward N,Amar Mahal Junction,19.0594,72.9084,Powai Lake,9.0,"transport, residential, mixed_use",520000,23.63,14,Urban,90.0,48.44,22.4,0.9333333333333332,1,24.0,High,0.9948738
2025-09-21,Ward N,Amar Mahal Junction,19.0594,72.9084,Powai Lake,9.0,"transport, residential, mixed_use",520000,23.63,14,Urban,90.0,48.44,23.7,0.9875,1,24.0,High,0.9948738
2025-09-22,Ward N,Amar Mahal Junction,19.0594,72.9084,Powai Lake,9.0,"transport, residential, mixed_use",520000,23.63,14,Urban,90.0,48.44,43.5,1.8125,1,24.0,High,0.99928325
2025-09-23,Ward N,Amar Mahal Junction,19.0594,72.9084,Powai Lake,9.0,"transport, residential, mixed_use",520000,23.63,14,Urban,90.0,48.44,29.8,1.3545454545454545,1,22.0,High,0.99622107
2025-09-24,Ward N,Amar Mahal Junction,19.0594,72.9084,Powai Lake,9.0,"transport, residential, mixed_use",520000,23.63,14,Urban,90.0,48.44,3.3,0.1571428571428571,1,21.0,High,0.8740476
2025-09-25,Ward N,Amar Mahal Junction,19.0594,72.9084,Powai Lake,9.0,"transport, residential, mixed_use",520000,23.63,14,Urban,90.0,48.44,1.8,0.15,1,12.0,High,0.8780621
2025-09-26,Ward N,Amar Mahal Junction,19.0594,72.9084,Powai Lake,9.0,"transport, residential, mixed_use",520000,23.63,14,Urban,90.0,48.44,3.6,0.2,1,18.0,High,0.8740476
2025-09-13,Ward K/E,Andheri East,19.1158835,72.854202,Mithi River,7.156397627,commercial,880000,2.432311889,4898,Urban,69.58978195,3528.0,12.7,3.5,1,17.0,High,0.99785715
2025-09-14,Ward K/E,Andheri East,19.1158835,72.854202,Mithi River,7.156397627,commercial,880000,2.432311889,4898,Urban,69.58978195,3528.0,12.2,2.8,1,22.0,High,0.9978884
2025-09-15,Ward K/E,Andheri East,19.1158835,72.854202,Mithi River,7.156397627,commercial,880000,2.432311889,4898,Urban,69.58978195,3528.0,65.5,10.6,1,18.0,High,0.99963427
2025-09-16,Ward K/E,Andheri East,19.1158835,72.854202,Mithi River,7.156397627,commercial,880000,2.432311889,4898,Urban,69.58978195,3528.0,5.2,0.9,1,23.0,High,0.99780875
2025-09-17,Ward K/E,Andheri East,19.1158835,72.854202,Mithi River,7.156397627,commercial,880000,2.432311889,4898,Urban,69.58978195,3528.0,25.7,14.8,1,21.0,High,0.9926087
2025-09-18,Ward K/E,Andheri East,19.1158835,72.854202,Mithi River,7.156397627,commercial,880000,2.432311889,4898,Urban,69.58978195,3528.0,10.4,1.9,1,21.0,High,0.9981792
2025-09-19,Ward K/E,Andheri East,19.1158835,72.854202,Mithi River,7.156397627,commercial,880000,2.432311889,4898,Urban,69.58978195,3528.0,0.0,0.7,0,3.0,High,0.9952769
2025-09-20,Ward K/E,Andheri East,19.1158835,72.854202,Mithi River,7.156397627,commercial,880000,2.432311889,4898,Urban,69.58978195,3528.0,22.4,0.9333333333333332,1,24.0,High,0.9933286
2025-09-21,Ward K/E,Andheri East,19.1158835,72.854202,Mithi River,7.156397627,commercial,880000,2.432311889,4898,Urban,69.58978195,3528.0,23.7,0.9875,1,24.0,High,0.9933286
2025-09-22,Ward K/E,Andheri East,19.1158835,72.854202,Mithi River,7.156397627,commercial,880000,2.432311889,4898,Urban,69.58978195,3528.0,43.5,1.8125,1,24.0,High,0.9990038
2025-09-23,Ward K/E,Andheri East,19.1158835,72.854202,Mithi River,7.156397627,commercial,880000,2.432311889,4898,Urban,69.58978195,3528.0,29.8,1.3545454545454545,1,22.0,High,0.99337304
2025-09-24,Ward K/E,Andheri East,19.1158835,72.854202,Mithi River,7.156397627,commercial,880000,2.432311889,4898,Urban,69.58978195,3528.0,3.3,0.1571428571428571,1,21.0,High,0.89457333
2025-09-25,Ward K/E,Andheri East,19.1158835,72.854202,Mithi River,7.156397627,commercial,880000,2.432311889,4898,Urban,69.58978195,3528.0,1.8,0.15,1,12.0,High,0.8972874
2025-09-26,Ward K/E,Andheri East,19.1158835,72.854202,Mithi River,7.156397627,commercial,880000,2.432311889,4898,Urban,69.58978195,3528.0,3.6,0.2,1,18.0,High,0.89457333
2025-09-13,Ward M/E,Baiganwadi,19.0566,72.9021,Chembur Nalla,10.0,"residential, mixed_use",690000,17.54,16,Sandy,90.0,351.07,10.7,2.8,1,17.0,High,0.9975383
2025-09-14,Ward M/E,Baiganwadi,19.0566,72.9021,Chembur Nalla,10.0,"residential, mixed_use",690000,17.54,16,Sandy,90.0,351.07,14.2,2.8,1,22.0,High,0.9975383
2025-09-15,Ward M/E,Baiganwadi,19.0566,72.9021,Chembur Nalla,10.0,"residential, mixed_use",690000,17.54,16,Sandy,90.0,351.07,56.1,8.9,1,18.0,High,0.9996991
2025-09-16,Ward M/E,Baiganwadi,19.0566,72.9021,Chembur Nalla,10.0,"residential, mixed_use",690000,17.54,16,Sandy,90.0,351.07,14.5,7.3,1,22.0,High,0.9975383
2025-09-17,Ward M/E,Baiganwadi,19.0566,72.9021,Chembur Nalla,10.0,"residential, mixed_use",690000,17.54,16,Sandy,90.0,351.07,22.3,13.7,1,22.0,High,0.96351796
2025-09-18,Ward M/E,Baiganwadi,19.0566,72.9021,Chembur Nalla,10.0,"residential, mixed_use",690000,17.54,16,Sandy,90.0,351.07,16.0,3.9,1,21.0,High,0.9975383
2025-09-19,Ward M/E,Baiganwadi,19.0566,72.9021,Chembur Nalla,10.0,"residential, mixed_use",690000,17.54,16,Sandy,90.0,351.07,0.0,0.1,0,4.0,High,0.7858546
2025-09-20,Ward M/E,Baiganwadi,19.0566,72.9021,Chembur Nalla,10.0,"residential, mixed_use",690000,17.54,16,Sandy,90.0,351.07,22.4,0.9333333333333332,1,24.0,High,0.94499797
2025-09-21,Ward M/E,Baiganwadi,19.0566,72.9021,Chembur Nalla,10.0,"residential, mixed_use",690000,17.54,16,Sandy,90.0,351.07,23.7,0.9875,1,24.0,High,0.94499797
2025-09-22,Ward M/E,Baiganwadi,19.0566,72.9021,Chembur Nalla,10.0,"residential, mixed_use",690000,17.54,16,Sandy,90.0,351.07,43.5,1.8125,1,24.0,High,0.99815506
2025-09-23,Ward M/E,Baiganwadi,19.0566,72.9021,Chembur Nalla,10.0,"residential, mixed_use",690000,17.54,16,Sandy,90.0,351.07,29.8,1.3545454545454545,1,22.0,High,0.9638368
2025-09-24,Ward M/E,Baiganwadi,19.0566,72.9021,Chembur Nalla,10.0,"residential, mixed_use",690000,17.54,16,Sandy,90.0,351.07,3.3,0.1571428571428571,1,21.0,High,0.8475186
2025-09-25,Ward M/E,Baiganwadi,19.0566,72.9021,Chembur Nalla,10.0,"residential, mixed_use",690000,17.54,16,Sandy,90.0,351.07,1.8,0.15,1,12.0,High,0.8531293
2025-09-26,Ward M/E,Baiganwadi,19.0566,72.9021,Chembur Nalla,10.0,"residential, mixed_use",690000,17.54,16,Sandy,90.0,351.07,3.6,0.2,1,18.0,High,0.8475186
2025-09-13,Ward L,Bail Bazaar,19.0722,72.8771,Kurla Nalla,7.0,"recreational_ground, residential",940000,21.75,16,Sandy,70.0,708.7,12.7,3.5,1,17.0,High,0.99820733
2025-09-14,Ward L,Bail Bazaar,19.0722,72.8771,Kurla Nalla,7.0,"recreational_ground, residential",940000,21.75,16,Sandy,70.0,708.7,12.2,2.8,1,22.0,High,0.99820733
2025-09-15,Ward L,Bail Bazaar,19.0722,72.8771,Kurla Nalla,7.0,"recreational_ground, residential",940000,21.75,16,Sandy,70.0,708.7,65.5,10.6,1,18.0,High,0.99971455
2025-09-16,Ward L,Bail Bazaar,19.0722,72.8771,Kurla Nalla,7.0,"recreational_ground, residential",940000,21.75,16,Sandy,70.0,708.7,5.2,0.9,1,23.0,High,0.9978255
2025-09-17,Ward L,Bail Bazaar,19.0722,72.8771,Kurla Nalla,7.0,"recreational_ground, residential",940000,21.75,16,Sandy,70.0,708.7,25.7,14.8,1,21.0,High,0.9942258
2025-09-18,Ward L,Bail Bazaar,19.0722,72.8771,Kurla Nalla,7.0,"recreational_ground, residential",940000,21.75,16,Sandy,70.0,708.7,10.4,1.9,1,21.0,High,0.9984542
2025-09-19,Ward L,Bail Bazaar,19.0722,72.8771,Kurla Nalla,7.0,"recreational_ground, residential",940000,21.75,16,Sandy,70.0,708.7,0.0,0.7,0,3.0,High,0.9947404
2025-09-20,Ward L,Bail Bazaar,19.0722,72.8771,Kurla Nalla,7.0,"recreational_ground, residential",940000,21.75,16,Sandy,70.0,708.7,22.4,0.9333333333333332,1,24.0,High,0.9929738
2025-09-21,Ward L,Bail Bazaar,19.0722,72.8771,Kurla Nalla,7.0,"recreational_ground, residential",940000,21.75,16,Sandy,70.0,708.7,23.7,0.9875,1,24.0,High,0.9929738
2025-09-22,Ward L,Bail Bazaar,19.0722,72.8771,Kurla Nalla,7.0,"recreational_ground, residential",940000,21.75,16,Sandy,70.0,708.7,43.5,1.8125,1,24.0,High,0.9991391
2025-09-23,Ward L,Bail Bazaar,19.0722,72.8771,Kurla Nalla,7.0,"recreational_ground, residential",940000,21.75,16,Sandy,70.0,708.7,29.8,1.3545454545454545,1,22.0,High,0.9948238
2025-09-24,Ward L,Bail Bazaar,19.0722,72.8771,Kurla Nalla,7.0,"recreational_ground, residential",940000,21.75,16,Sandy,70.0,708.7,3.3,0.1571428571428571,1,21.0,High,0.8842824
2025-09-25,Ward L,Bail Bazaar,19.0722,72.8771,Kurla Nalla,7.0,"recreational_ground, residential",940000,21.75,16,Sandy,70.0,708.7,1.8,0.15,1,12.0,High,0.8872781
2025-09-26,Ward L,Bail Bazaar,19.0722,72.8771,Kurla Nalla,7.0,"recreational_ground, residential",940000,21.75,16,Sandy,70.0,708.7,3.6,0.2,1,18.0,High,0.8842824
2025-09-13,Ward A,Ballard Estate,18.9496,72.8414,Arabian Sea ,17.0,"commercial, institutional",185000,25.44,14,Sandy,90.0,1342.48,11.8,3.3,1,14.0,High,0.99326175
2025-09-14,Ward A,Ballard Estate,18.9496,72.8414,Arabian Sea ,17.0,"commercial, institutional",185000,25.44,14,Sandy,90.0,1342.48,15.1,2.9,1,19.0,High,0.99326175
2025-09-15,Ward A,Ballard Estate,18.9496,72.8414,Arabian Sea ,17.0,"commercial, institutional",185000,25.44,14,Sandy,90.0,1342.48,82.8,12.7,1,19.0,High,0.9992957
2025-09-16,Ward A,Ballard Estate,18.9496,72.8414,Arabian Sea ,17.0,"commercial, institutional",185000,25.44,14,Sandy,90.0,1342.48,10.6,1.3,1,20.0,High,0.9941859
2025-09-17,Ward A,Ballard Estate,18.9496,72.8414,Arabian Sea ,17.0,"commercial, institutional",185000,25.44,14,Sandy,90.0,1342.48,10.4,1.6,1,21.0,High,0.9941859
2025-09-18,Ward A,Ballard Estate,18.9496,72.8414,Arabian Sea ,17.0,"commercial, institutional",185000,25.44,14,Sandy,90.0,1342.48,18.7,3.3,1,21.0,High,0.56070834
2025-09-19,Ward A,Ballard Estate,18.9496,72.8414,Arabian Sea ,17.0,"commercial, institutional",185000,25.44,14,Sandy,90.0,1342.48,0.0,3.3,0,6.0,High,0.9731309
2025-09-20,Ward A,Ballard Estate,18.9496,72.8414,Arabian Sea ,17.0,"commercial, institutional",185000,25.44,14,Sandy,90.0,1342.48,22.4,0.9333333333333332,1,24.0,Moderate,0.5464295
2025-09-21,Ward A,Ballard Estate,18.9496,72.8414,Arabian Sea ,17.0,"commercial, institutional",185000,25.44,14,Sandy,90.0,1342.48,23.7,0.9875,1,24.0,Moderate,0.5464295
2025-09-22,Ward A,Ballard Estate,18.9496,72.8414,Arabian Sea ,17.0,"commercial, institutional",185000,25.44,14,Sandy,90.0,1342.48,43.5,1.8125,1,24.0,High,0.9954645
2025-09-23,Ward A,Ballard Estate,18.9496,72.8414,Arabian Sea ,17.0,"commercial, institutional",185000,25.44,14,Sandy,90.0,1342.48,29.8,1.3545454545454545,1,22.0,High,0.59545165
2025-09-24,Ward A,Ballard Estate,18.9496,72.8414,Arabian Sea ,17.0,"commercial, institutional",185000,25.44,14,Sandy,90.0,1342.48,3.3,0.1571428571428571,1,21.0,High,0.8391288
2025-09-25,Ward A,Ballard Estate,18.9496,72.8414,Arabian Sea ,17.0,"commercial, institutional",185000,25.44,14,Sandy,90.0,1342.48,1.8,0.15,1,12.0,High,0.845005
2025-09-26,Ward A,Ballard Estate,18.9496,72.8414,Arabian Sea ,17.0,"commercial, institutional",185000,25.44,14,Sandy,90.0,1342.48,3.6,0.2,1,18.0,High,0.8391288
2025-09-13,Ward S,Bhandup,19.1438684,72.9384327,Ulhas River,13.17876638,park,780000,3.989189147,4346,Clay,56.82544889,2375.0,9.5,2.4,1,17.0,High,0.99521613
2025-09-14,Ward S,Bhandup,19.1438684,72.9384327,Ulhas River,13.17876638,park,780000,3.989189147,4346,Clay,56.82544889,2375.0,11.9,2.8,1,22.0,High,0.99521613
2025-09-15,Ward S,Bhandup,19.1438684,72.9384327,Ulhas River,13.17876638,park,780000,3.989189147,4346,Clay,56.82544889,2375.0,29.4,5.5,1,17.0,High,0.89634377
2025-09-16,Ward S,Bhandup,19.1438684,72.9384327,Ulhas River,13.17876638,park,780000,3.989189147,4346,Clay,56.82544889,2375.0,12.9,4.6,1,21.0,High,0.9951455
2025-09-17,Ward S,Bhandup,19.1438684,72.9384327,Ulhas River,13.17876638,park,780000,3.989189147,4346,Clay,56.82544889,2375.0,32.2,14.0,1,22.0,High,0.89859277
2025-09-18,Ward S,Bhandup,19.1438684,72.9384327,Ulhas River,13.17876638,park,780000,3.989189147,4346,Clay,56.82544889,2375.0,12.5,2.0,1,20.0,High,0.9959507
2025-09-19,Ward S,Bhandup,19.1438684,72.9384327,Ulhas River,13.17876638,park,780000,3.989189147,4346,Clay,56.82544889,2375.0,0.0,0.1,0,1.0,High,0.78764766
2025-09-20,Ward S,Bhandup,19.1438684,72.9384327,Ulhas River,13.17876638,park,780000,3.989189147,4346,Clay,56.82544889,2375.0,17.6,0.7333333333333334,1,24.0,High,0.89771646
2025-09-21,Ward S,Bhandup,19.1438684,72.9384327,Ulhas River,13.17876638,park,780000,3.989189147,4346,Clay,56.82544889,2375.0,15.6,0.6782608695652174,1,23.0,High,0.99670225
2025-09-22,Ward S,Bhandup,19.1438684,72.9384327,Ulhas River,13.17876638,park,780000,3.989189147,4346,Clay,56.82544889,2375.0,28.1,1.1708333333333334,1,24.0,High,0.8250562
2025-09-23,Ward S,Bhandup,19.1438684,72.9384327,Ulhas River,13.17876638,park,780000,3.989189147,4346,Clay,56.82544889,2375.0,33.2,1.5090909090909093,1,22.0,High,0.91095406
2025-09-24,Ward S,Bhandup,19.1438684,72.9384327,Ulhas River,13.17876638,park,780000,3.989189147,4346,Clay,56.82544889,2375.0,1.5,0.1666666666666666,1,9.0,High,0.8488103
2025-09-25,Ward S,Bhandup,19.1438684,72.9384327,Ulhas River,13.17876638,park,780000,3.989189147,4346,Clay,56.82544889,2375.0,0.0,0.0,0,0.0,High,0.6731069
2025-09-26,Ward S,Bhandup,19.1438684,72.9384327,Ulhas River,13.17876638,park,780000,3.989189147,4346,Clay,56.82544889,2375.0,1.5,0.1666666666666666,1,9.0,High,0.8488103
2025-09-13,Ward S,Bhandup Tank Road,19.1436,72.9357,Powai Lake,7.0,"transport, commercial, mixed_use",780000,8.01,16,Urban,90.0,272.94,9.5,2.4,1,17.0,High,0.9983865
2025-09-14,Ward S,Bhandup Tank Road,19.1436,72.9357,Powai Lake,7.0,"transport, commercial, mixed_use",780000,8.01,16,Urban,90.0,272.94,11.9,2.8,1,22.0,High,0.9983865
2025-09-15,Ward S,Bhandup Tank Road,19.1436,72.9357,Powai Lake,7.0,"transport, commercial, mixed_use",780000,8.01,16,Urban,90.0,272.94,29.4,5.5,1,17.0,High,0.99396133
2025-09-16,Ward S,Bhandup Tank Road,19.1436,72.9357,Powai Lake,7.0,"transport, commercial, mixed_use",780000,8.01,16,Urban,90.0,272.94,12.9,4.6,1,21.0,High,0.9983865
2025-09-17,Ward S,Bhandup Tank Road,19.1436,72.9357,Powai Lake,7.0,"transport, commercial, mixed_use",780000,8.01,16,Urban,90.0,272.94,32.2,14.0,1,22.0,High,0.99396133
2025-09-18,Ward S,Bhandup Tank Road,19.1436,72.9357,Powai Lake,7.0,"transport, commercial, mixed_use",780000,8.01,16,Urban,90.0,272.94,12.5,2.0,1,20.0,High,0.99865484
2025-09-19,Ward S,Bhandup Tank Road,19.1436,72.9357,Powai Lake,7.0,"transport, commercial, mixed_use",780000,8.01,16,Urban,90.0,272.94,0.0,0.1,0,1.0,High,0.84630215
2025-09-20,Ward S,Bhandup Tank Road,19.1436,72.9357,Powai Lake,7.0,"transport, commercial, mixed_use",780000,8.01,16,Urban,90.0,272.94,22.4,0.9333333333333332,1,24.0,High,0.9933616
2025-09-21,Ward S,Bhandup Tank Road,19.1436,72.9357,Powai Lake,7.0,"transport, commercial, mixed_use",780000,8.01,16,Urban,90.0,272.94,23.7,0.9875,1,24.0,High,0.9933616
2025-09-22,Ward S,Bhandup Tank Road,19.1436,72.9357,Powai Lake,7.0,"transport, commercial, mixed_use",780000,8.01,16,Urban,90.0,272.94,43.5,1.8125,1,24.0,High,0.99921536
2025-09-23,Ward S,Bhandup Tank Road,19.1436,72.9357,Powai Lake,7.0,"transport, commercial, mixed_use",780000,8.01,16,Urban,90.0,272.94,29.8,1.3545454545454545,1,22.0,High,0.99476516
2025-09-24,Ward S,Bhandup Tank Road,19.1436,72.9357,Powai Lake,7.0,"transport, commercial, mixed_use",780000,8.01,16,Urban,90.0,272.94,3.3,0.1571428571428571,1,21.0,High,0.86784565
2025-09-25,Ward S,Bhandup Tank Road,19.1436,72.9357,Powai Lake,7.0,"transport, commercial, mixed_use",780000,8.01,16,Urban,90.0,272.94,1.8,0.15,1,12.0,High,0.8720294
2025-09-26,Ward S,Bhandup Tank Road,19.1436,72.9357,Powai Lake,7.0,"transport, commercial, mixed_use",780000,8.01,16,Urban,90.0,272.94,3.6,0.2,1,18.0,High,0.86784565
2025-09-13,Ward C,Bhuleshwar,18.9537706,72.8274755,Arabian Sea,10.26407906,commercial,190000,4.776598896,4498,Sand,66.57048423,2794.0,11.8,3.3,1,14.0,High,0.99521434
2025-09-14,Ward C,Bhuleshwar,18.9537706,72.8274755,Arabian Sea,10.26407906,commercial,190000,4.776598896,4498,Sand,66.57048423,2794.0,15.1,2.9,1,19.0,High,0.9943403
2025-09-15,Ward C,Bhuleshwar,18.9537706,72.8274755,Arabian Sea,10.26407906,commercial,190000,4.776598896,4498,Sand,66.57048423,2794.0,82.8,12.7,1,19.0,High,0.99941564
2025-09-16,Ward C,Bhuleshwar,18.9537706,72.8274755,Arabian Sea,10.26407906,commercial,190000,4.776598896,4498,Sand,66.57048423,2794.0,10.6,1.3,1,20.0,High,0.9957112
2025-09-17,Ward C,Bhuleshwar,18.9537706,72.8274755,Arabian Sea,10.26407906,commercial,190000,4.776598896,4498,Sand,66.57048423,2794.0,10.4,1.6,1,21.0,High,0.9957112
2025-09-18,Ward C,Bhuleshwar,18.9537706,72.8274755,Arabian Sea,10.26407906,commercial,190000,4.776598896,4498,Sand,66.57048423,2794.0,18.7,3.3,1,21.0,High,0.9386499
2025-09-19,Ward C,Bhuleshwar,18.9537706,72.8274755,Arabian Sea,10.26407906,commercial,190000,4.776598896,4498,Sand,66.57048423,2794.0,0.0,3.3,0,6.0,High,0.9788649
2025-09-20,Ward C,Bhuleshwar,18.9537706,72.8274755,Arabian Sea,10.26407906,commercial,190000,4.776598896,4498,Sand,66.57048423,2794.0,22.4,0.9333333333333332,1,24.0,High,0.9303703
2025-09-21,Ward C,Bhuleshwar,18.9537706,72.8274755,Arabian Sea,10.26407906,commercial,190000,4.776598896,4498,Sand,66.57048423,2794.0,23.7,0.9875,1,24.0,High,0.9303703
2025-09-22,Ward C,Bhuleshwar,18.9537706,72.8274755,Arabian Sea,10.26407906,commercial,190000,4.776598896,4498,Sand,66.57048423,2794.0,43.5,1.8125,1,24.0,High,0.9969416
2025-09-23,Ward C,Bhuleshwar,18.9537706,72.8274755,Arabian Sea,10.26407906,commercial,190000,4.776598896,4498,Sand,66.57048423,2794.0,29.8,1.3545454545454545,1,22.0,High,0.94438165
